[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run x4cigrky
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260330_174124-x4cigrky
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prog_dino4f_warmproj_2anim
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/x4cigrky
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 999): 1604M total, 311M trainable
  basic_2: p0=7421, p1=310, cond=torch.Size([1, 5480, 1536])
  basic_5: p0=7117, p1=554, cond=torch.Size([1, 5480, 1536])

Phase 1: Projector warmup (1000 steps, cross-attn frozen)

  [2800/8000] loss=0.108982 b2=0.0816 b5=0.1381 blk=20 | 0.71 it/s
  [2850/8000] loss=0.172418 b2=0.2088 b5=0.1758 blk=20 | 0.71 it/s
  [2900/8000] loss=0.139669 b2=0.1265 b5=0.1552 blk=20 | 0.71 it/s
  [2950/8000] loss=0.129463 b2=0.1462 b5=0.1265 blk=20 | 0.72 it/s
  [3000/8000] loss=0.228752 b2=0.3021 b5=0.1714 blk=19 | 0.72 it/s
  [3050/8000] loss=0.234897 b2=0.1605 b5=0.3098 blk=19 | 0.73 it/s
  [3100/8000] loss=0.208183 b2=0.2817 b5=0.1324 blk=19 | 0.73 it/s
  [3150/8000] loss=0.159158 b2=0.1707 b5=0.1197 blk=19 | 0.73 it/s
  [3200/8000] loss=0.133195 b2=0.0860 b5=0.1385 blk=18 | 0.74 it/s
  [3250/8000] loss=0.194303 b2=0.1825 b5=0.1970 blk=18 | 0.74 it/s
  [3300/8000] loss=0.106578 b2=0.0786 b5=0.1370 blk=18 | 0.74 it/s
  [3350/8000] loss=0.140267 b2=0.1270 b5=0.1808 blk=18 | 0.75 it/s
  [3400/8000] loss=0.092930 b2=0.1403 b5=0.0443 blk=17 | 0.75 it/s
  [3450/8000] loss=0.134372 b2=0.1212 b5=0.0801 blk=17 | 0.75 it/s
  [3500/8000] loss=0.116858 b2=0.0983 b5=0.1331 blk=17 | 0.76 it/s
  [3550/8000] loss=0.168215 b2=0.1191 b5=0.1535 blk=17 | 0.76 it/s
  [3600/8000] loss=0.189463 b2=0.1290 b5=0.2267 blk=16 | 0.76 it/s
  [3650/8000] loss=0.097937 b2=0.0752 b5=0.1071 blk=16 | 0.77 it/s
  [3700/8000] loss=0.190095 b2=0.1605 b5=0.2197 blk=16 | 0.77 it/s
  [3750/8000] loss=0.107013 b2=0.0839 b5=0.1570 blk=16 | 0.77 it/s
  [3800/8000] loss=0.051564 b2=0.0593 b5=0.0542 blk=15 | 0.77 it/s
  [3850/8000] loss=0.120892 b2=0.1116 b5=0.1305 blk=15 | 0.78 it/s
  [3900/8000] loss=0.148323 b2=0.1378 b5=0.1584 blk=15 | 0.78 it/s
  [3950/8000] loss=0.085819 b2=0.1332 b5=0.0760 blk=15 | 0.78 it/s
  [4000/8000] loss=0.077871 b2=0.0663 b5=0.0722 blk=15 | 0.78 it/s
  [4050/8000] loss=0.176525 b2=0.1350 b5=0.2176 blk=15 | 0.78 it/s
  [4100/8000] loss=0.074253 b2=0.0382 b5=0.1229 blk=15 | 0.79 it/s
  [4150/8000] loss=0.084071 b2=0.1425 b5=0.0256 blk=15 | 0.79 it/s
  [4200/8000] loss=0.150430 b2=0.1324 b5=0.1685 blk=15 | 0.79 it/s
  [4250/8000] loss=0.154457 b2=0.1483 b5=0.1593 blk=15 | 0.79 it/s
  [4300/8000] loss=0.081290 b2=0.1073 b5=0.0871 blk=15 | 0.80 it/s
  [4350/8000] loss=0.100077 b2=0.1364 b5=0.0601 blk=15 | 0.80 it/s
  [4400/8000] loss=0.147540 b2=0.1437 b5=0.1524 blk=15 | 0.80 it/s
  [4450/8000] loss=0.120840 b2=0.1825 b5=0.0497 blk=15 | 0.80 it/s
  [4500/8000] loss=0.047520 b2=0.0507 b5=0.0488 blk=15 | 0.80 it/s
  [4550/8000] loss=0.154259 b2=0.1368 b5=0.1717 blk=15 | 0.81 it/s
  [4600/8000] loss=0.148724 b2=0.1570 b5=0.1635 blk=15 | 0.81 it/s
  [4650/8000] loss=0.153039 b2=0.1386 b5=0.1676 blk=15 | 0.81 it/s
  [4700/8000] loss=0.093427 b2=0.1036 b5=0.0848 blk=15 | 0.81 it/s
  [4750/8000] loss=0.099736 b2=0.1079 b5=0.0986 blk=15 | 0.81 it/s
  [4800/8000] loss=0.116057 b2=0.1090 b5=0.0595 blk=15 | 0.82 it/s
  [4850/8000] loss=0.042874 b2=0.0647 b5=0.0215 blk=15 | 0.82 it/s
  [4900/8000] loss=0.143587 b2=0.1418 b5=0.0495 blk=15 | 0.82 it/s
  [4950/8000] loss=0.119616 b2=0.1598 b5=0.0797 blk=15 | 0.82 it/s
  [5000/8000] loss=0.076453 b2=0.0537 b5=0.1023 blk=15 | 0.82 it/s
  [5050/8000] loss=0.068622 b2=0.0663 b5=0.0558 blk=15 | 0.82 it/s
  [5100/8000] loss=0.043749 b2=0.0544 b5=0.0341 blk=15 | 0.82 it/s
  [5150/8000] loss=0.109465 b2=0.1583 b5=0.0298 blk=15 | 0.83 it/s
  [5200/8000] loss=0.137246 b2=0.2166 b5=0.0862 blk=15 | 0.83 it/s
  [5250/8000] loss=0.140097 b2=0.2039 b5=0.0729 blk=15 | 0.83 it/s
  [5300/8000] loss=0.211862 b2=0.2074 b5=0.2164 blk=15 | 0.83 it/s
  [5350/8000] loss=0.137788 b2=0.2290 b5=0.1049 blk=15 | 0.83 it/s
  [5400/8000] loss=0.124658 b2=0.1654 b5=0.0836 blk=15 | 0.83 it/s
  [5450/8000] loss=0.270244 b2=0.3009 b5=0.1486 blk=15 | 0.84 it/s
  [5500/8000] loss=0.075601 b2=0.0864 b5=0.0648 blk=15 | 0.84 it/s
  [5550/8000] loss=0.080312 b2=0.1225 b5=0.0541 blk=15 | 0.84 it/s
  [5600/8000] loss=0.086516 b2=0.0661 b5=0.1070 blk=15 | 0.84 it/s
