Training:   1%|          | 74/10000 [10:58<24:30:44,  8.89s/it, loss=0.5730, lr=2.54e-05, n=13082]
Training:   1%|          | 74/10000 [11:07<24:30:44,  8.89s/it, loss=0.5230, lr=2.54e-05, n=13082]
Training:   1%|          | 75/10000 [11:07<24:30:29,  8.89s/it, loss=0.5230, lr=2.54e-05, n=13082]
Training:   1%|          | 75/10000 [11:16<24:30:29,  8.89s/it, loss=0.5138, lr=2.54e-05, n=13082]
Training:   1%|          | 76/10000 [11:16<24:29:18,  8.88s/it, loss=0.5138, lr=2.54e-05, n=13082]
Training:   1%|          | 76/10000 [11:25<24:29:18,  8.88s/it, loss=0.5484, lr=2.54e-05, n=13082]
Training:   1%|          | 77/10000 [11:25<24:28:56,  8.88s/it, loss=0.5484, lr=2.54e-05, n=13082]
Training:   1%|          | 77/10000 [11:34<24:28:56,  8.88s/it, loss=0.5366, lr=2.54e-05, n=13082]
Training:   1%|          | 78/10000 [11:34<24:29:12,  8.88s/it, loss=0.5366, lr=2.54e-05, n=13082]
Training:   1%|          | 78/10000 [11:43<24:29:12,  8.88s/it, loss=0.4624, lr=2.54e-05, n=13082]
Training:   1%|          | 79/10000 [11:43<24:28:24,  8.88s/it, loss=0.4624, lr=2.54e-05, n=13082]
Training:   1%|          | 79/10000 [11:52<24:28:24,  8.88s/it, loss=0.4852, lr=2.54e-05, n=13082]
Training:   1%|          | 80/10000 [11:52<24:34:43,  8.92s/it, loss=0.4852, lr=2.54e-05, n=13082]
Training:   1%|          | 80/10000 [12:01<24:34:43,  8.92s/it, loss=0.4680, lr=2.54e-05, n=13082]
Training:   1%|          | 81/10000 [12:01<24:31:35,  8.90s/it, loss=0.4680, lr=2.54e-05, n=13082]
Training:   1%|          | 81/10000 [12:10<24:31:35,  8.90s/it, loss=0.5079, lr=2.54e-05, n=13082]
Training:   1%|          | 82/10000 [12:10<24:29:19,  8.89s/it, loss=0.5079, lr=2.54e-05, n=13082]
Training:   1%|          | 82/10000 [12:18<24:29:19,  8.89s/it, loss=0.6420, lr=2.54e-05, n=13082]
Training:   1%|          | 83/10000 [12:18<24:27:49,  8.88s/it, loss=0.6420, lr=2.54e-05, n=13082]
Training:   1%|          | 83/10000 [12:27<24:27:49,  8.88s/it, loss=0.4996, lr=2.54e-05, n=13082]
Training:   1%|          | 84/10000 [12:27<24:23:21,  8.85s/it, loss=0.4996, lr=2.54e-05, n=13082]
Training:   1%|          | 84/10000 [12:36<24:23:21,  8.85s/it, loss=0.5039, lr=2.54e-05, n=13082]
Training:   1%|          | 85/10000 [12:36<24:23:54,  8.86s/it, loss=0.5039, lr=2.54e-05, n=13082]
Training:   1%|          | 85/10000 [12:45<24:23:54,  8.86s/it, loss=0.4295, lr=2.54e-05, n=13082]
Training:   1%|          | 86/10000 [12:45<24:24:56,  8.87s/it, loss=0.4295, lr=2.54e-05, n=13082]
Training:   1%|          | 86/10000 [12:54<24:24:56,  8.87s/it, loss=0.6382, lr=2.54e-05, n=13082]
Training:   1%|          | 87/10000 [12:54<24:30:54,  8.90s/it, loss=0.6382, lr=2.54e-05, n=13082]
Training:   1%|          | 87/10000 [13:03<24:30:54,  8.90s/it, loss=0.5112, lr=2.54e-05, n=13082]
Training:   1%|          | 88/10000 [13:03<24:29:28,  8.90s/it, loss=0.5112, lr=2.54e-05, n=13082]
Training:   1%|          | 88/10000 [13:12<24:29:28,  8.90s/it, loss=0.5207, lr=2.54e-05, n=13082]
Training:   1%|          | 89/10000 [13:12<24:32:19,  8.91s/it, loss=0.5207, lr=2.54e-05, n=13082]
Training:   1%|          | 89/10000 [13:21<24:32:19,  8.91s/it, loss=0.5366, lr=2.53e-05, n=13082]
Training:   1%|          | 90/10000 [13:21<24:30:41,  8.90s/it, loss=0.5366, lr=2.53e-05, n=13082]
Training:   1%|          | 90/10000 [13:30<24:30:41,  8.90s/it, loss=0.3949, lr=2.53e-05, n=13082]
Training:   1%|          | 91/10000 [13:30<24:29:22,  8.90s/it, loss=0.3949, lr=2.53e-05, n=13082]
Training:   1%|          | 91/10000 [13:38<24:29:22,  8.90s/it, loss=0.4842, lr=2.53e-05, n=13082]
