[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1604M total, 311M trainable
SLat model built (vjepa_dim=1536 for DINOv2)
  basic_2: p0=7421, p1=310, dino=torch.Size([1, 5480, 1536])
  basic_5: p0=7117, p1=554, dino=torch.Size([1, 5480, 1536])

SLat + DINOv2 overfit: basic_2 vs basic_5, 30000 steps

  [10900/30000] loss=2.230830 | 1.04 it/s
  [11000/30000] loss=2.233022 | 1.04 it/s
  [11100/30000] loss=2.236639 | 1.04 it/s
  [11200/30000] loss=2.242888 | 1.04 it/s
  [11300/30000] loss=2.224438 | 1.04 it/s
  [11400/30000] loss=2.250711 | 1.04 it/s
  [11500/30000] loss=2.223513 | 1.04 it/s
  [11600/30000] loss=2.246808 | 1.04 it/s
  [11700/30000] loss=2.224230 | 1.04 it/s
  [11800/30000] loss=2.238375 | 1.04 it/s
  [11900/30000] loss=2.247388 | 1.04 it/s
  [12000/30000] loss=2.222114 | 1.04 it/s
  [12100/30000] loss=2.227990 | 1.04 it/s
  [12200/30000] loss=2.229281 | 1.04 it/s
  [12300/30000] loss=2.240800 | 1.04 it/s
  [12400/30000] loss=2.235162 | 1.04 it/s
  [12500/30000] loss=2.235074 | 1.04 it/s
  [12600/30000] loss=2.240506 | 1.04 it/s
  [12700/30000] loss=2.215815 | 1.04 it/s
  [12800/30000] loss=2.234539 | 1.04 it/s
  [12900/30000] loss=2.232264 | 1.04 it/s
  [13000/30000] loss=2.232158 | 1.04 it/s
  [13100/30000] loss=2.236477 | 1.04 it/s
  [13200/30000] loss=2.233766 | 1.04 it/s
  [13300/30000] loss=2.238261 | 1.04 it/s
  [13400/30000] loss=2.238437 | 1.04 it/s
  [13500/30000] loss=2.262570 | 1.04 it/s
  [13600/30000] loss=2.247687 | 1.04 it/s
  [13700/30000] loss=2.240270 | 1.04 it/s
  [13800/30000] loss=2.224406 | 1.04 it/s
  [13900/30000] loss=2.241441 | 1.04 it/s
  [14000/30000] loss=2.232302 | 1.04 it/s
  [14100/30000] loss=2.245406 | 1.04 it/s
  [14200/30000] loss=2.229534 | 1.04 it/s
  [14300/30000] loss=2.228909 | 1.04 it/s
  [14400/30000] loss=2.245066 | 1.04 it/s
  [14500/30000] loss=2.237243 | 1.04 it/s
  [14600/30000] loss=2.232079 | 1.04 it/s
  [14700/30000] loss=2.239411 | 1.04 it/s
  [14800/30000] loss=2.236550 | 1.04 it/s
  [14900/30000] loss=2.241195 | 1.04 it/s
  [15000/30000] loss=2.225737 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_dino_2anim/step_15000.pt
  [15100/30000] loss=2.217041 | 1.04 it/s
  [15200/30000] loss=2.242102 | 1.04 it/s
  [15300/30000] loss=2.236423 | 1.04 it/s
  [15400/30000] loss=2.243504 | 1.04 it/s
  [15500/30000] loss=2.232373 | 1.04 it/s
  [15600/30000] loss=2.239603 | 1.04 it/s
  [15700/30000] loss=2.230311 | 1.04 it/s
  [15800/30000] loss=2.231660 | 1.04 it/s
  [15900/30000] loss=2.238676 | 1.04 it/s
  [16000/30000] loss=2.232967 | 1.04 it/s
  [16100/30000] loss=2.238237 | 1.04 it/s
  [16200/30000] loss=2.230542 | 1.04 it/s
  [16300/30000] loss=2.219690 | 1.04 it/s
  [16400/30000] loss=2.236988 | 1.04 it/s
  [16500/30000] loss=2.250997 | 1.04 it/s
  [16600/30000] loss=2.239305 | 1.04 it/s
  [16700/30000] loss=2.252549 | 1.04 it/s
  [16800/30000] loss=2.235183 | 1.04 it/s
  [16900/30000] loss=2.225843 | 1.04 it/s
  [17000/30000] loss=2.233116 | 1.04 it/s
  [17100/30000] loss=2.224922 | 1.04 it/s
  [17200/30000] loss=2.232483 | 1.04 it/s
  [17300/30000] loss=2.228258 | 1.04 it/s
  [17400/30000] loss=2.239087 | 1.04 it/s
  [17500/30000] loss=2.244181 | 1.04 it/s
  [17600/30000] loss=2.239016 | 1.04 it/s
  [17700/30000] loss=2.236393 | 1.04 it/s
  [17800/30000] loss=2.242816 | 1.04 it/s
  [17900/30000] loss=2.240178 | 1.04 it/s
  [18000/30000] loss=2.231212 | 1.04 it/s
  [18100/30000] loss=2.230003 | 1.04 it/s
  [18200/30000] loss=2.225412 | 1.04 it/s
  [18300/30000] loss=2.235721 | 1.04 it/s
  [18400/30000] loss=2.215504 | 1.04 it/s
  [18500/30000] loss=2.235574 | 1.04 it/s
  [18600/30000] loss=2.247357 | 1.04 it/s
  [18700/30000] loss=2.235936 | 1.04 it/s
  [18800/30000] loss=2.249115 | 1.04 it/s
  [18900/30000] loss=2.232126 | 1.04 it/s
  [19000/30000] loss=2.225001 | 1.04 it/s
  [19100/30000] loss=2.223210 | 1.04 it/s
  [19200/30000] loss=2.238478 | 1.04 it/s
  [19300/30000] loss=2.236573 | 1.04 it/s
  [19400/30000] loss=2.242959 | 1.04 it/s
  [19500/30000] loss=2.231947 | 1.04 it/s
  [19600/30000] loss=2.235003 | 1.04 it/s
  [19700/30000] loss=2.225402 | 1.04 it/s
  [19800/30000] loss=2.232159 | 1.04 it/s
  [19900/30000] loss=2.232609 | 1.04 it/s
  [20000/30000] loss=2.230675 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_dino_2anim/step_20000.pt
  [20100/30000] loss=2.249900 | 1.04 it/s
  [20200/30000] loss=2.249686 | 1.04 it/s
  [20300/30000] loss=2.248453 | 1.04 it/s
  [20400/30000] loss=2.233212 | 1.04 it/s
  [20500/30000] loss=2.236090 | 1.04 it/s
  [20600/30000] loss=2.229581 | 1.04 it/s
  [20700/30000] loss=2.230148 | 1.04 it/s
  [20800/30000] loss=2.229998 | 1.04 it/s
  [20900/30000] loss=2.238270 | 1.04 it/s
  [21000/30000] loss=2.214499 | 1.04 it/s
  [21100/30000] loss=2.233378 | 1.04 it/s
  [21200/30000] loss=2.224601 | 1.04 it/s
  [21300/30000] loss=2.238191 | 1.04 it/s
  [21400/30000] loss=2.227996 | 1.04 it/s
  [21500/30000] loss=2.237974 | 1.04 it/s
  [21600/30000] loss=2.248998 | 1.04 it/s
  [21700/30000] loss=2.243511 | 1.04 it/s
  [21800/30000] loss=2.238212 | 1.04 it/s
  [21900/30000] loss=2.241477 | 1.04 it/s
  [22000/30000] loss=2.217669 | 1.04 it/s
  [22100/30000] loss=2.217221 | 1.04 it/s
  [22200/30000] loss=2.249487 | 1.04 it/s
  [22300/30000] loss=2.235685 | 1.04 it/s
  [22400/30000] loss=2.228189 | 1.04 it/s
  [22500/30000] loss=2.236203 | 1.04 it/s
  [22600/30000] loss=2.235303 | 1.04 it/s
  [22700/30000] loss=2.243544 | 1.04 it/s
  [22800/30000] loss=2.229638 | 1.04 it/s
  [22900/30000] loss=2.236755 | 1.04 it/s
  [23000/30000] loss=2.231385 | 1.04 it/s
  [23100/30000] loss=2.240594 | 1.04 it/s
  [23200/30000] loss=2.232748 | 1.04 it/s
  [23300/30000] loss=2.247988 | 1.04 it/s
  [23400/30000] loss=2.238715 | 1.04 it/s
  [23500/30000] loss=2.250130 | 1.04 it/s
  [23600/30000] loss=2.221149 | 1.04 it/s
  [23700/30000] loss=2.242019 | 1.04 it/s
  [23800/30000] loss=2.235906 | 1.04 it/s
  [23900/30000] loss=2.248810 | 1.04 it/s
  [24000/30000] loss=2.228109 | 1.04 it/s
  [24100/30000] loss=2.235619 | 1.04 it/s
  [24200/30000] loss=2.239452 | 1.04 it/s
  [24300/30000] loss=2.234995 | 1.04 it/s
  [24400/30000] loss=2.238994 | 1.04 it/s
  [24500/30000] loss=2.246382 | 1.04 it/s
  [24600/30000] loss=2.236914 | 1.04 it/s
  [24700/30000] loss=2.226015 | 1.04 it/s
  [24800/30000] loss=2.241305 | 1.04 it/s
  [24900/30000] loss=2.237336 | 1.04 it/s
  [25000/30000] loss=2.233318 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_dino_2anim/step_25000.pt
  [25100/30000] loss=2.231041 | 1.04 it/s
  [25200/30000] loss=2.231316 | 1.04 it/s
  [25300/30000] loss=2.245756 | 1.04 it/s
  [25400/30000] loss=2.241177 | 1.04 it/s
  [25500/30000] loss=2.236071 | 1.04 it/s
  [25600/30000] loss=2.220960 | 1.04 it/s
  [25700/30000] loss=2.227700 | 1.04 it/s
  [25800/30000] loss=2.241754 | 1.04 it/s
  [25900/30000] loss=2.228706 | 1.04 it/s
  [26000/30000] loss=2.236415 | 1.04 it/s
  [26100/30000] loss=2.227756 | 1.04 it/s
  [26200/30000] loss=2.234464 | 1.04 it/s
  [26300/30000] loss=2.234410 | 1.04 it/s
  [26400/30000] loss=2.235492 | 1.04 it/s
  [26500/30000] loss=2.232381 | 1.04 it/s
  [26600/30000] loss=2.230494 | 1.04 it/s
  [26700/30000] loss=2.228660 | 1.04 it/s
  [26800/30000] loss=2.245426 | 1.04 it/s
  [26900/30000] loss=2.233739 | 1.04 it/s
  [27000/30000] loss=2.233006 | 1.04 it/s
  [27100/30000] loss=2.216926 | 1.04 it/s
  [27200/30000] loss=2.228935 | 1.04 it/s
  [27300/30000] loss=2.237750 | 1.04 it/s
  [27400/30000] loss=2.237757 | 1.04 it/s
  [27500/30000] loss=2.249514 | 1.04 it/s
  [27600/30000] loss=2.247205 | 1.04 it/s
  [27700/30000] loss=2.235491 | 1.04 it/s
  [27800/30000] loss=2.234116 | 1.04 it/s
  [27900/30000] loss=2.235069 | 1.04 it/s
  [28000/30000] loss=2.229783 | 1.04 it/s
  [28100/30000] loss=2.237088 | 1.04 it/s
  [28200/30000] loss=2.236634 | 1.04 it/s
  [28300/30000] loss=2.230315 | 1.04 it/s
  [28400/30000] loss=2.222712 | 1.04 it/s
  [28500/30000] loss=2.228711 | 1.04 it/s
  [28600/30000] loss=2.232948 | 1.04 it/s
  [28700/30000] loss=2.229850 | 1.04 it/s
  [28800/30000] loss=2.235046 | 1.04 it/s
  [28900/30000] loss=2.229653 | 1.04 it/s
  [29000/30000] loss=2.230045 | 1.04 it/s
  [29100/30000] loss=2.229372 | 1.04 it/s
  [29200/30000] loss=2.225487 | 1.04 it/s
  [29300/30000] loss=2.230065 | 1.04 it/s
  [29400/30000] loss=2.232189 | 1.04 it/s
  [29500/30000] loss=2.241006 | 1.04 it/s
  [29600/30000] loss=2.239983 | 1.04 it/s
  [29700/30000] loss=2.243106 | 1.04 it/s
  [29800/30000] loss=2.247967 | 1.04 it/s
  [29900/30000] loss=2.241164 | 1.04 it/s
  [30000/30000] loss=2.229977 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_dino_2anim/step_30000.pt

Done in 479.1m
